OBJECTID;Activate;Address;PosicionSTR;Ligth;Name;NoAvailable;number;TotalBases;State;POINT_X;POINT_Y
522;1;Calle Molino Viejo frente , 14,;-3.60666 40.396301;1;471 - Molino Viejo - Minerva;0;471;18;IN_SERVICE;-3,60666;40,396301
523;1;Calle Amaltea, 1 ,;-3.68317 40.394706;1;271 - Amaltea-Meneses;0;271;24;IN_SERVICE;-3,68317;40,394706
524;1;Calle Villablanca 7,;-3.6078326500000006 40.40894698;2;466 - Villablanca - Vereda del Pinar;0;466;23;IN_SERVICE;-3,60783265;40,40894698
525;1;Paseo Juan Antonio Vallejo-Nájera Botas, 25 ,;-3.7082123 40.4020545;2;275 - Juan Antonio Vallejo-Nájera Botas, 25;0;275;23;IN_SERVICE;-3,7082123;40,4020545
526;1; Avenida de la Aurora Boreal, 19,;-3.603668 40.399236;1;475 - Aurora Boreal - Minerva;0;475;23;IN_SERVICE;-3,603668;40,399236
527;1;Calle Méndez Álvaro, 73 ,;-3.6813434600000003 40.39675755;1;274 - Estación Sur Méndez Álvaro A;0;274;23;IN_SERVICE;-3,68134346;40,39675755
528;1;Calle Nuria nº24,;-3.7048829999999997 40.491644;1;605 - Nuria - Peña Sirio;0;605;24;IN_SERVICE;-3,704883;40,491644
529;1;Avenida Arcentales (frente Estadio Metropolitano),;-3.60097542 40.43333298;0;522 - Metro Estadio Metropolitano;0;522;24;IN_SERVICE;-3,60097542;40,43333298
530;1;Calle Ginebra (esquina con Suecia),;-3.6048180999999997 40.423893;0;521 - Metro Las Rosas;0;521;24;IN_SERVICE;-3,6048181;40,423893
531;1;Intercambiador de Canillejas,;-3.609553 40.449095;2;508 - Metro Canillejas;0;508;24;IN_SERVICE;-3,609553;40,449095
532;1;Avenida Ciudad de Barcelona (esquina con Plaza de Carlos V),;-3.690538 40.407573;2;80A - Estación de Atocha A;0;80A;23;IN_SERVICE;-3,690538;40,407573
533;1;Avenida Ciudad de Barcelona (esquina con Plaza de Carlos V),;-3.6904748 40.4075211;2;80B - Estación de Atocha B;0;80B;27;IN_SERVICE;-3,6904748;40,4075211
534;1;Calle Adolfo Bioy Casares, 3 ,;-3.5981935 40.3668504;0;447 - Adolfo Bioy Casares - Las Suertes;0;447;27;IN_SERVICE;-3,5981935;40,3668504
535;1;Calle San Jenaro, 1,;-3.7043083000000006 40.3500291;0;412 - Estación de tren de Puente de Alcocer;0;412;24;IN_SERVICE;-3,7043083;40,3500291
536;1;Calle Diamante, 10 ,;-3.6877534 40.3532609;2;415 - Diamante - Delmira Agustini;0;415;24;IN_SERVICE;-3,6877534;40,3532609
537;1;Calle Doctor Martín Arévalo enfrente del N°16 ,;-3.707413 40.345928;1;413 - Doctor Martín Arévalo;0;413;24;IN_SERVICE;-3,707413;40,345928
538;1;Calle Zapatoca, 8,;-3.63335803 40.47285235;0;545 - Zapatoca, 8;0;545;23;IN_SERVICE;-3,63335803;40,47285235
539;1;Plaza Mayor de Barajas, 24,;-3.5776537 40.4733252;1;567 - Plaza Mayor de Barajas;0;567;24;IN_SERVICE;-3,5776537;40,4733252
540;1;Calle soto Hidalgo, 3 ,;-3.5820745 40.4606465;2;563 - Soto Hidalgo;0;563;27;IN_SERVICE;-3,5820745;40,4606465
541;1;Paseo de Reina Cristina, 6 ,;-3.6831862 40.4067247;1;281 - Reina Cristina - Julián Gayarre;0;281;23;IN_SERVICE;-3,6831862;40,4067247
542;1;Ronda de la Comunicación, s/n,;-3.6626887 40.5157202;2;609 - Metro Ronda de la Comunicación;0;609;23;IN_SERVICE;-3,6626887;40,5157202
543;1;Calle de Moncada, 102 ,;-3.692444 40.341725;2;408 - Metro San Cristóbal;0;408;23;IN_SERVICE;-3,692444;40,341725
544;1;Calle Eduardo Barreiros, 114,;-3.7046436000000003 40.3553495;1;409 - Eduardo Barreiros, 114;0;409;23;IN_SERVICE;-3,7046436;40,3553495
545;1;Calle Fermín Caballero 2,;-3.6984849999999994 40.487363;0;606 - Fermín Caballero - Sangenjo;0;606;23;IN_SERVICE;-3,698485;40,487363
546;1;Calle Huerta de Castañeda, 26 ,;-3.74201882097404 40.40622095698234;1;349 - Huerta de Castañeda 26;0;349;24;IN_SERVICE;-3,742018821;40,40622096
547;1;calle Gregorio Sánchez Herráez 14,;-3.6365700000000003 40.477248;0;544 - Gregorio Sánchez Herráez 14;0;544;23;IN_SERVICE;-3,63657;40,477248
548;1;Calle Oña s/n,;-3.6658565 40.4891872;0;551 - Oña;0;551;23;IN_SERVICE;-3,6658565;40,4891872
549;1;Calle Ana de Austria, 52 ,;-3.6531502 40.4994394;2;552 - Ana de Austria - Ignacio Aldecoa;0;552;27;IN_SERVICE;-3,6531502;40,4994394
550;1;Calle de Juan Antonio Samaranch s/n,;-3.6157089999999994 40.483962;2;542 - Intercambiador de Valdebebas;0;542;23;IN_SERVICE;-3,615709;40,483962
551;1;Paseo de la Puerta del Ángel, 10 ,;-3.7345247000000006 40.4167792;0;320 - Metro Lago;0;320;19;IN_SERVICE;-3,7345247;40,4167792
552;1;Calle Estella, 21,;-3.6743568 40.4968198;1;608 - Estella - Camino de Santiago;0;608;23;IN_SERVICE;-3,6743568;40,4968198
553;1;Paseo de los Pontones, 26 ,;-3.7196 40.4040433;2;278 - Paseo los Pontones - Ps. Melancólicos;0;278;23;IN_SERVICE;-3,7196;40,4040433
554;1;Calle luis de Salazar, 16 ,;-3.6649258000000002 40.4474166;1;289 - Luis de Salazar - Padre Claret;0;289;23;IN_SERVICE;-3,6649258;40,4474166
555;1;Calle Rafaela Aparicio, 1 ,;-3.6312178999999998 40.4792396;1;547 - Rafaela Aparicio - Maruja Mallo;0;547;27;IN_SERVICE;-3,6312179;40,4792396
556;1;Calle de Berrocal, 9 ,;-3.67615 40.344115;1;402 - Berrocal, 9;0;402;27;IN_SERVICE;-3,67615;40,344115
557;1;Calle Tomás Redondo, 9 ,;-3.6291380199999996 40.47178414;2;543 - Tomas Redondo;0;543;23;IN_SERVICE;-3,62913802;40,47178414
558;1;Paseo Virgen del Puerto, 27 ,;-3.7211780000000005 40.411622;2;277 - Virgen del Puerto;0;277;15;IN_SERVICE;-3,721178;40,411622
559;1;Calle del Tejo, 22 ,;-3.679186 40.39663;2;272 - Tejo - Parque La Ronda;0;272;23;IN_SERVICE;-3,679186;40,39663
560;1;Avenida Menéndez Pelayo enfrente del nº33 ,;-3.6787796 40.4181327;0;282 - Parque Retiro - Puerta Reina Mercedes;0;282;23;IN_SERVICE;-3,6787796;40,4181327
561;1;Calle Mayor , 6,;-3.7054098 40.416465;2;1 - Metro Sol;0;1;23;IN_SERVICE;-3,7054098;40,416465
562;1;Avenida Gran Vía de San Francisco, 6,;-3.712793282384579 40.40833880815136;1;263 - Gran Vía de San Francisco;0;263;23;IN_SERVICE;-3,712793282;40,40833881
563;1; Calle Babilonia, 19,;-3.5882346999999997 40.4675299;2;559 - Calle Babilonia, 19;0;559;23;IN_SERVICE;-3,5882347;40,4675299
564;1;Camino de Ganapanes, 32-40 ,;-3.7163093000000003 40.4764797;0;581 - Metro Peñagrande;0;581;24;IN_SERVICE;-3,7163093;40,4764797
565;1;Calle San Modesto, 44,;-3.6923396 40.4858012;0;598 - Hospital Ramón y Cajal;0;598;24;IN_SERVICE;-3,6923396;40,4858012
566;1;Calle Escalona, 2,;-3.76182259 40.39834576;0;341 - Escalona - Seseña;0;341;27;IN_SERVICE;-3,76182259;40,39834576
567;1;Calle de Tembleque, 31 ,;-3.7664844 40.3907438;0;346 - Metro Empalme;0;346;24;IN_SERVICE;-3,7664844;40,3907438
568;1;Avenida de las Aguilas, 27 ,;-3.7686029999999997 40.383554;2;347 - Est. tren Mtra Justa Freire-Poli Aluche;0;347;24;IN_SERVICE;-3,768603;40,383554
569;1;Calle Albelda, 6,;-3.6573666 40.4494225;0;528 - Albelda - Torrelaguna;0;528;24;IN_SERVICE;-3,6573666;40,4494225
570;1;Paseo de la Venta, 1,;-3.7528559 40.4077495;0;312 - Metro Batán;0;312;27;IN_SERVICE;-3,7528559;40,4077495
571;1;Carretera del zoo s/n (metro Casa de Campo) ,;-3.7610509999999997 40.40316;0;321 - Metro Casa de Campo;0;321;27;IN_SERVICE;-3,761051;40,40316
572;1;Calle Rosas de Aravaca, s/n ,;-3.7845536000000006 40.4490509;2;310 - Estación de tren de Aravaca;0;310;23;IN_SERVICE;-3,7845536;40,4490509
573;1;Calle Profesor Aranguren, 1 ,;-3.7335740000000004 40.448553;0;311 - C. Universitaria - F. Geografía e Histo;0;311;27;IN_SERVICE;-3,733574;40,448553
574;1;Calle Felipe IV, 5 ,;-3.6919057 40.4152082;0;283 - Museo Nacional del Prado;0;283;23;IN_SERVICE;-3,6919057;40,4152082
575;1;Avenida Del Partenón, 18 ,;-3.6138669999999995 40.463861;2;564 - IFEMA B;0;564;23;IN_SERVICE;-3,613867;40,463861
576;1;Calle Caños de San Pedro, 12,;-3.6019220000000005 40.403472;2;468 - Caños de San Pedro - San Cipriano;0;468;23;IN_SERVICE;-3,601922;40,403472
577;1;465 - Cordel de Pavones, 48,;-3.619645 40.397375;2;465 - Cordel de Pavones - Bulevar José Prat;0;465;24;IN_SERVICE;-3,619645;40,397375
578;1;Calle Santa Petronila, 7 ,;-3.692163 40.350985;0;414 - Metro Villaverde Bajo-Cruce;0;414;24;IN_SERVICE;-3,692163;40,350985
579;1;Calle de la Oca, 22 ,;-3.7335492000000006 40.3894333;0;380 - Oca;0;380;24;IN_SERVICE;-3,7335492;40,3894333
580;1;Calle Domingo Párraga, 38 ,;-3.7118182999999996 40.3417533;0;411 - Estación de tren de Villaverde Alto;0;411;18;IN_SERVICE;-3,7118183;40,3417533
581;1;Calle Jacinto Verdaguer, 12 ,;-3.7160526116262793 40.39593854704345;2;354 - Jacinto Verdaguer - Lola de Membrives;0;354;24;IN_SERVICE;-3,716052612;40,39593855
582;1;Calle Santa Pola, 22 ,;-3.7370276473602226 40.43205131007265;1;318 - C. Deportivo Mpal. José María Cagigal;0;318;24;IN_SERVICE;-3,737027647;40,43205131
583;1;Avenida Francisco Pi y Margall, 29 ,;-3.6503543999999994 40.4866354;2;549 - Francisco Pi y Maragall;0;549;19;IN_SERVICE;-3,6503544;40,4866354
584;1;Paseo de los Melancólicos, 1 ,;-3.7184815999999996 40.4104448;1;279 - Paseo de los Melancólicos, 1;0;279;23;IN_SERVICE;-3,7184816;40,4104448
585;1;Calle Carmen de Burgos, 4,;-3.6847883 40.3575459;0;407 - Carmen de Burgos, 4;0;407;23;IN_SERVICE;-3,6847883;40,3575459
586;1;Paseo de las Yeserías, 15,;-3.7099166 40.39900539;1;276 - Paseo de las Yeserías, 15;0;276;23;IN_SERVICE;-3,7099166;40,39900539
587;1;Calle Illescas, 1 ,;-3.7656975999999998 40.3970983;0;340 - Illescas - Seseña;0;340;27;IN_SERVICE;-3,7656976;40,3970983
588;1;Calle Osa de la Vega, 1 ,;-3.7733810000000005 40.374979;0;342 - Osa de la Vega - Rafael Finat;0;342;23;IN_SERVICE;-3,773381;40,374979
589;1;Calle Alfredo Aleix, 9 ,;-3.7553916 40.3684767;2;381 - Alfredo Aleix - Mercedes Rodríguez;0;381;24;IN_SERVICE;-3,7553916;40,3684767
590;1;Calle Valderrebollo, 18 ,;-3.6276352 40.3743481;1;444 - Valderrebollo, 18;0;444;23;IN_SERVICE;-3,6276352;40,3743481
591;1;Avenida Del Ensanche de Vallecas, 80 ,;-3.5993520000000006 40.363376;2;448 - Metro Las Suertes;0;448;27;IN_SERVICE;-3,599352;40,363376
592;1;Calle de los Pinillas, 19,;-3.6211484999999994 40.3987974;0;472 - Metro Valdebernardo;0;472;27;IN_SERVICE;-3,6211485;40,3987974
593;1;Calle Villa Blanca, 85 ,;-3.59888007 40.40500033;1;473 - Villablanca - Parque Forestal Vicálvaro;0;473;27;IN_SERVICE;-3,59888007;40,40500033
594;1;Calle San Cipriano, 71 ,;-3.596875 40.402255;2;474 - Estación de tren de Vicálvaro;0;474;27;IN_SERVICE;-3,596875;40,402255
595;1;Avenida Gran Vía de Hortaleza, 68 ,;-3.6468591 40.4682706;2;541 - Metro Pinar del Rey;0;541;23;IN_SERVICE;-3,6468591;40,4682706
596;1;Calle Andorra, 2 ,;-3.6467519000000004 40.4628976;0;546 - Andorra - Canillas;0;546;23;IN_SERVICE;-3,6467519;40,4628976
597;1;Calle del Príncipe Carlos, 54 ,;-3.6566739999999998 40.4941108;2;550 - Príncipe Carlos, 54;0;550;23;IN_SERVICE;-3,656674;40,4941108
598;1;Calle María de Portugal, 44 ,;-3.658921 40.499909;2;553 - María Portugal - Niceto Alcalá Zamora;0;553;23;IN_SERVICE;-3,658921;40,499909
599;1;Calle Antonio de Cabezón, s/n (Estacion Cercanías Fuencarral),;-3.6824686999999994 40.5015588;0;601 - Estación de tren de Fuencarral;0;601;24;IN_SERVICE;-3,6824687;40,5015588
600;1;Calle Castiello de Jaca, nº14 ,;-3.6782027 40.5091982;0;603 - Castiello de Jaca, 14;0;603;23;IN_SERVICE;-3,6782027;40,5091982
601;1;Calle Valcarlos, nº20 ,;-3.6641571 40.5051915;2;607 - Metro Ligero - Palas de Rey;0;607;27;IN_SERVICE;-3,6641571;40,5051915
602;1;Calle Bardegueral, 16,;-3.7719096999999997 40.4501721;2;610 - Bardegueral;0;610;24;IN_SERVICE;-3,7719097;40,4501721
603;1;Calle Francisco Balseiro 2 ,;-3.7102736 40.4516819;1;237 - Acueducto de Amaniel;0;237;24;IN_SERVICE;-3,7102736;40,4516819
604;1;Calle María de las Mercedes de Borbón, 214,;-3.620114 40.4928683;1;262 - María de las Mercedes de Borbón B;0;262;23;IN_SERVICE;-3,620114;40,4928683
605;1;Calle María de las Mercedes de Borbón, 98,;-3.6121068531215528 40.490908297996654;1;611 - María de las Mercedes de Borbón A;0;611;23;IN_SERVICE;-3,612106853;40,4909083
