120 General Perón-Aviador Zorita                                                                                                                                                                             -3.6971024 40.4542336
121 San Amaro                                                                                                                                                                                                -3.695724 40.456841
122 General Cabrera                                                                                                                                                                                          -3.6945653 40.4581317
123 Infanta Mercedes                                                                                                                                                                                         -3.6964105 40.4586431
124 Bravo Murillo-Lope de Haro                                                                                                                                                                               -3.7009569 40.4584715
125 Estrecho                                                                                                                                                                                                 -3.7017305 40.4564488
126 Teruel                                                                                                                                                                                                   -3.702251 40.4532024
127 Alvarado                                                                                                                                                                                                 -3.702604 40.4508669
128 Cuatro Caminos                                                                                                                                                                                           -3.7028367 40.4474871
129 Bravo Murillo-Cristóbal Bordiú                                                                                                                                                                           -3.7029703 40.4452791
130 Juan Zorrilla                                                                                                                                                                                            -3.7029702 40.4435719
131 Canal                                                                                                                                                                                                    -3.702436 40.4403905
132 Glorieta Álvarez de Castro                                                                                                                                                                               -3.7016135 40.4384045
133 Álvarez de Castro-Eloy Gonzalo                                                                                                                                                                           -3.7007312 40.4363197
134 Quevedo                                                                                                                                                                                                  -3.7018471 40.4359166
135 Quevedo                                                                                                                                                                                                  -3.7029113 40.434802
136 Fuencarral-Alburquerque                                                                                                                                                                                  -3.7023015 40.4333778
137 Fuencarral-Bilbao                                                                                                                                                                                        -3.7014105 40.4313472
138 Carranza                                                                                                                                                                                                 -3.7036756 40.431491
139 Metro San Bernardo                                                                                                                                                                                       -3.7049336 40.4311591
140 San Bernardo-Dos de Mayo                                                                                                                                                                                 -3.7053472 40.4289944
141 Noviciado                                                                                                                                                                                                -3.7062214 40.426917
142 Santo Domingo                                                                                                                                                                                            -3.7065877 40.4239643
143 Gran Vía-Plaza de España                                                                                                                                                                                 -3.7084271 40.4247773
144 Plaza de España                                                                                                                                                                                          -3.710738 40.4248172
145 Palacio Real                                                                                                                                                                                             -3.7124208 40.4167167
146 Las Vistillas                                                                                                                                                                                            -3.7126745 40.4139494
147 San Francisco El Grande                                                                                                                                                                                  -3.7127112 40.4118411
148 La Paloma                                                                                                                                                                                                -3.7120984 40.4107367
149 Ciudad Lineal                                                                                                                                                                                            -3.6374076 40.4399835
150 Vital Aza-Albasanz                                                                                                                                                                                       -3.6348151 40.4367455
151 Ascao-Julián Camarillo                                                                                                                                                                                   -3.6331896 40.4344031
152 Metro García Noblejas                                                                                                                                                                                    -3.6308495 40.4312717
153 Castillo de Arévalo                                                                                                                                                                                      -3.6296074 40.4295578
154 Hermanos García Noblejas-Gandhi                                                                                                                                                                          -3.6282374 40.4277454
155 Hermanos García Noblejas-Centro de Salud                                                                                                                                                                 -3.6267644 40.4255552
156 Pobladura del Valle-Arcos de Jalón                                                                                                                                                                       -3.6241442 40.4239297
157 Arcos de Jalón-San Román del Valle                                                                                                                                                                       -3.6206291 40.4224171
158 Arcos de Jalón-Amposta                                                                                                                                                                                   -3.6170415 40.4245444
159 Arcos de Jalón-Albericia                                                                                                                                                                                 -3.6145458 40.4262244
160 Arcos de Jalón-Avenida de Canillejas                                                                                                                                                                     -3.61156 40.428952
161 Avenida de Canillejas-Rusia                                                                                                                                                                              -3.6103799 40.4257239
162 Avenida de Canillejas-Aquitania                                                                                                                                                                          -3.6102061 40.4234456
163 Avenida de Canillejas-Toscana                                                                                                                                                                            -3.609904 40.421321
164 Avenida de Canillejas-M40                                                                                                                                                                                -3.6095264 40.4186653
165 Plaza de la Vicalvarada                                                                                                                                                                                  -3.608893 40.4111641
166 Artilleros-Calahorra                                                                                                                                                                                     -3.6084464 40.4100043
