original_id,name,lat,lon,layer,type,node_id
716                                               ,Cartagena-López de Hoyos                                                                                                                                                                                ,40.4443584,-3.6745426,bus,stop,31
718                                               ,Cartagena                                                                                                                                                                                               ,40.4414469,-3.6725023,bus,stop,32
722                                               ,Cartagena-Béjar                                                                                                                                                                                         ,40.4390164,-3.6698318,bus,stop,33
2307                                              ,Plaza San Cayetano                                                                                                                                                                                      ,40.4357854,-3.6692691,bus,stop,34
725                                               ,Centro Cultural Buenavista                                                                                                                                                                              ,40.433864,-3.6697099,bus,stop,35
728                                               ,Parque Eva Duarte                                                                                                                                                                                       ,40.4316467,-3.669885,bus,stop,36
730                                               ,Lista                                                                                                                                                                                                   ,40.4319433,-3.6746661,bus,stop,37
732                                               ,Marqués de Salamanca                                                                                                                                                                                    ,40.4321679,-3.6793794,bus,stop,38
733                                               ,Ortega y Gasset-Claudio Coello                                                                                                                                                                          ,40.4324332,-3.6848101,bus,stop,39
449                                               ,Serrano-Ortega y Gasset                                                                                                                                                                                 ,40.4314533,-3.6859791,bus,stop,40
451                                               ,Metro Serrano                                                                                                                                                                                           ,40.4279358,-3.6866389,bus,stop,41
452                                               ,Museo Arqueológico                                                                                                                                                                                      ,40.4248787,-3.6871619,bus,stop,42
161                                               ,Puerta de Alcalá                                                                                                                                                                                        ,40.4224688,-3.6879154,bus,stop,43
69                                                ,Cibeles                                                                                                                                                                                                 ,40.421578,-3.692256,bus,stop,44
5135                                              ,Círculo de Bellas Artes                                                                                                                                                                                 ,40.4209039,-3.694989,bus,stop,45
5137                                              ,Gran Vía-Pedro Zerolo                                                                                                                                                                                   ,40.4216551,-3.6981595,bus,stop,46
4094                                              ,Gran Vía-Montera                                                                                                                                                                                        ,40.4220407,-3.7006957,bus,stop,47
9                                                 ,Gran Vía-Callao                                                                                                                                                                                         ,40.4222286,-3.7031208,bus,stop,48
168                                               ,Santo Domingo                                                                                                                                                                                           ,40.4233712,-3.7063343,bus,stop,49
283                                               ,Gran Vía-Plaza de España                                                                                                                                                                                ,40.4251869,-3.7092138,bus,stop,50
1750                                              ,Plaza de España                                                                                                                                                                                         ,40.4265752,-3.7105325,bus,stop,51
172                                               ,Ventura Rodríguez                                                                                                                                                                                       ,40.4277772,-3.7113822,bus,stop,52
734                                               ,Princesa-Rey Francisco                                                                                                                                                                                  ,40.4301267,-3.7131439999999998,bus,stop,53
736                                               ,Argüelles                                                                                                                                                                                               ,40.4320553,-3.7144981,bus,stop,54
738                                               ,Altamirano                                                                                                                                                                                              ,40.4340466,-3.7159049,bus,stop,55
4816                                              ,Moncloa                                                                                                                                                                                                 ,40.435643,-3.7170654,bus,stop,56
4021                                              ,Junta Municipal Moncloa                                                                                                                                                                                 ,40.4375905,-3.7168149,bus,stop,57
743                                               ,Cristo Rey                                                                                                                                                                                              ,40.4404672,-3.7163518,bus,stop,58
3811                                              ,Manuel Becerra                                                                                                                                                                                          ,40.429383,-3.6672048,bus,stop,59
148                                               ,Doctor Esquerdo-Goya                                                                                                                                                                                    ,40.4270381,-3.6676381,bus,stop,60
150                                               ,O'Donnell                                                                                                                                                                                               ,40.4238113,-3.6679127,bus,stop,61
1256                                              ,Hospital Gregorio Marañón                                                                                                                                                                               ,40.420215,-3.6682072,bus,stop,62
199                                               ,Ibiza-Maiquez                                                                                                                                                                                           ,40.4201329,-3.6714833,bus,stop,63
2157                                              ,Narváez-Ibiza                                                                                                                                                                                           ,40.4204694,-3.6748056,bus,stop,64
156                                               ,O Donnell-Narváez                                                                                                                                                                                       ,40.4235532,-3.6751127,bus,stop,65
158                                               ,O Donnell-Retiro                                                                                                                                                                                        ,40.4235477,-3.6791324,bus,stop,66
175                                               ,Mártires de Alcalá                                                                                                                                                                                      ,40.4295913,-3.7123091,bus,stop,67
176                                               ,Argüelles                                                                                                                                                                                               ,40.4323235,-3.7104515,bus,stop,68
177                                               ,Blasco de Garay-Centro Mayores                                                                                                                                                                          ,40.4357935,-3.7101933,bus,stop,69
4477                                              ,Galileo                                                                                                                                                                                                 ,40.4369981,-3.7091566,bus,stop,70
4478                                              ,Vallehermoso-Donoso Cortés                                                                                                                                                                              ,40.4378754,-3.7071261,bus,stop,71
4479                                              ,Vallehermoso-Cea Bermúdez                                                                                                                                                                               ,40.4398673,-3.7069819,bus,stop,72
180                                               ,Vallehermoso-Islas Filipinas                                                                                                                                                                            ,40.4422966,-3.706759,bus,stop,73
181                                               ,Estadio Vallehermoso                                                                                                                                                                                    ,40.4443703,-3.7087013,bus,stop,74
182                                               ,Melquíades Álvarez                                                                                                                                                                                      ,40.4432203,-3.7111087,bus,stop,75
183                                               ,General Ampudia                                                                                                                                                                                         ,40.444213,-3.7137561,bus,stop,76
184                                               ,Avenida del Valle                                                                                                                                                                                       ,40.4454289,-3.7138054,bus,stop,77
185                                               ,Metro Guzmán el Bueno                                                                                                                                                                                   ,40.447637,-3.7129337,bus,stop,78
186                                               ,Reina Victoria                                                                                                                                                                                          ,40.4476976,-3.7111363,bus,stop,79
187                                               ,Guzmán el Bueno-San Francisco de Sales                                                                                                                                                                  ,40.4447502,-3.7113768,bus,stop,80
188                                               ,Melquíades Álvarez                                                                                                                                                                                      ,40.4434248,-3.7115471,bus,stop,81
189                                               ,Metro Islas Filipinas                                                                                                                                                                                   ,40.4405948,-3.7117413,bus,stop,82
190                                               ,Guzmán El Bueno-Fernández de los Ríos                                                                                                                                                                   ,40.4376926,-3.7119546,bus,stop,83
191                                               ,Guzmán El Bueno-Meléndez Valdés                                                                                                                                                                         ,40.4353896,-3.7121448,bus,stop,84
192                                               ,Argüelles                                                                                                                                                                                               ,40.4328434,-3.7123434,bus,stop,85
174                                               ,Alcalá-Retiro                                                                                                                                                                                           ,40.4223087,-3.6845173,bus,stop,86
3686                                              ,O Donnell-Retiro                                                                                                                                                                                        ,40.423445,-3.6782119,bus,stop,87
157                                               ,O Donnell-Narváez                                                                                                                                                                                       ,40.4233006,-3.6751809,bus,stop,88
2156                                              ,Narváez-Ibiza                                                                                                                                                                                           ,40.4204088,-3.6751638,bus,stop,89
2158                                              ,Sainz de Baranda-Narváez                                                                                                                                                                                ,40.4186611,-3.6743768,bus,stop,90
2160                                              ,Sainz de Baranda-Maiquez                                                                                                                                                                                ,40.4185056,-3.6716933,bus,stop,91
2162                                              ,Metro Sainz de Baranda                                                                                                                                                                                  ,40.4182849,-3.6685771,bus,stop,92
1257                                              ,Hospital Gregorio Marañón                                                                                                                                                                               ,40.4201183,-3.6677819,bus,stop,93
5822                                              ,Doctor Esquerdo-O Donnell                                                                                                                                                                               ,40.4222726,-3.6675921,bus,stop,94
151                                               ,O'Donnell                                                                                                                                                                                               ,40.4245528,-3.6674367,bus,stop,95
149                                               ,Doctor Esquerdo-Goya                                                                                                                                                                                    ,40.4266756,-3.6672293,bus,stop,96
5070                                              ,Puerta de Toledo                                                                                                                                                                                        ,40.409351,-3.7111001,bus,stop,97
1884                                              ,Puerta de Toledo                                                                                                                                                                                        ,40.4095462,-3.7108484,bus,stop,98
1882                                              ,La Paloma                                                                                                                                                                                               ,40.4108775,-3.7119073,bus,stop,99
1880                                              ,San Francisco El Grande                                                                                                                                                                                 ,40.4127707,-3.7124381,bus,stop,100
1878                                              ,Las Vistillas                                                                                                                                                                                           ,40.4139327,-3.7124621,bus,stop,101
1876                                              ,Palacio Real                                                                                                                                                                                            ,40.4165833,-3.7121365,bus,stop,102
855                                               ,Plaza de España                                                                                                                                                                                         ,40.4245841,-3.7105477,bus,stop,103
4108                                              ,Gran Vía-Pedro Zerolo                                                                                                                                                                                   ,40.42181,-3.6986102,bus,stop,104
5376                                              ,Hortaleza                                                                                                                                                                                               ,40.4230595,-3.6990729,bus,stop,105
278                                               ,Chueca                                                                                                                                                                                                  ,40.4254028,-3.6974228,bus,stop,106
5639                                              ,Santa Bárbara                                                                                                                                                                                           ,40.428167,-3.6954384,bus,stop,107
1865                                              ,Alonso Martínez                                                                                                                                                                                         ,40.4301867,-3.6944192,bus,stop,108
4675                                              ,Santa Engracia-Caracas                                                                                                                                                                                  ,40.432595,-3.6954343,bus,stop,109
1868                                              ,Plaza Chamberí                                                                                                                                                                                          ,40.4345353,-3.6963621,bus,stop,110
1869                                              ,Iglesia                                                                                                                                                                                                 ,40.4364765,-3.6971485,bus,stop,111
1870                                              ,Santa Engracia-García de Paredes                                                                                                                                                                        ,40.4381747,-3.6978971,bus,stop,112
1397                                              ,Santa Engracia-Bretón de los Herreros                                                                                                                                                                   ,40.4413557,-3.6992506,bus,stop,113
1398                                              ,Metro Ríos Rosas                                                                                                                                                                                        ,40.4436471,-3.7002295,bus,stop,114
1399                                              ,Santa Engracia-María de Guzmán                                                                                                                                                                          ,40.4459832,-3.7012678,bus,stop,115
1420                                              ,Cuatro Caminos                                                                                                                                                                                          ,40.447843,-3.7021008,bus,stop,116
1568                                              ,Alvarado                                                                                                                                                                                                ,40.4510764,-3.7022288,bus,stop,117
1569                                              ,Teruel                                                                                                                                                                                                  ,40.4534302,-3.7018288,bus,stop,118
1860                                              ,Estrecho                                                                                                                                                                                                ,40.4545692,-3.701192,bus,stop,119
1861                                              ,General Perón-Aviador Zorita                                                                                                                                                                            ,40.4542336,-3.6971024,bus,stop,120
1855                                              ,San Amaro                                                                                                                                                                                               ,40.456841,-3.695724,bus,stop,121
1856                                              ,General Cabrera                                                                                                                                                                                         ,40.4581317,-3.6945653,bus,stop,122
1857                                              ,Infanta Mercedes                                                                                                                                                                                        ,40.4586431,-3.6964105,bus,stop,123
1858                                              ,Bravo Murillo-Lope de Haro                                                                                                                                                                              ,40.4584715,-3.7009569,bus,stop,124
1859                                              ,Estrecho                                                                                                                                                                                                ,40.4564488,-3.7017305,bus,stop,125
1570                                              ,Teruel                                                                                                                                                                                                  ,40.4532024,-3.702251,bus,stop,126
1600                                              ,Alvarado                                                                                                                                                                                                ,40.4508669,-3.702604,bus,stop,127
1419                                              ,Cuatro Caminos                                                                                                                                                                                          ,40.4474871,-3.7028367,bus,stop,128
1382                                              ,Bravo Murillo-Cristóbal Bordiú                                                                                                                                                                          ,40.4452791,-3.7029703,bus,stop,129
4496                                              ,Juan Zorrilla                                                                                                                                                                                           ,40.4435719,-3.7029702,bus,stop,130
807                                               ,Canal                                                                                                                                                                                                   ,40.4403905,-3.702436,bus,stop,131
1862                                              ,Glorieta Álvarez de Castro                                                                                                                                                                              ,40.4384045,-3.7016135,bus,stop,132
1386                                              ,Álvarez de Castro-Eloy Gonzalo                                                                                                                                                                          ,40.4363197,-3.7007312,bus,stop,133
538                                               ,Quevedo                                                                                                                                                                                                 ,40.4359166,-3.7018471,bus,stop,134
3379                                              ,Quevedo                                                                                                                                                                                                 ,40.434802,-3.7029113,bus,stop,135
3377                                              ,Fuencarral-Alburquerque                                                                                                                                                                                 ,40.4333778,-3.7023015,bus,stop,136
3375                                              ,Fuencarral-Bilbao                                                                                                                                                                                       ,40.4313472,-3.7014105,bus,stop,137
3493                                              ,Carranza                                                                                                                                                                                                ,40.431491,-3.7036756,bus,stop,138
1772                                              ,Metro San Bernardo                                                                                                                                                                                      ,40.4311591,-3.7049336,bus,stop,139
1770                                              ,San Bernardo-Dos de Mayo                                                                                                                                                                                ,40.4289944,-3.7053472,bus,stop,140
1768                                              ,Noviciado                                                                                                                                                                                               ,40.426917,-3.7062214,bus,stop,141
1766                                              ,Santo Domingo                                                                                                                                                                                           ,40.4239643,-3.7065877,bus,stop,142
170                                               ,Gran Vía-Plaza de España                                                                                                                                                                                ,40.4247773,-3.7084271,bus,stop,143
854                                               ,Plaza de España                                                                                                                                                                                         ,40.4248172,-3.710738,bus,stop,144
1875                                              ,Palacio Real                                                                                                                                                                                            ,40.4167167,-3.7124208,bus,stop,145
1877                                              ,Las Vistillas                                                                                                                                                                                           ,40.4139494,-3.7126745,bus,stop,146
1879                                              ,San Francisco El Grande                                                                                                                                                                                 ,40.4118411,-3.7127112,bus,stop,147
1881                                              ,La Paloma                                                                                                                                                                                               ,40.4107367,-3.7120984,bus,stop,148
1199                                              ,Ciudad Lineal                                                                                                                                                                                           ,40.4399835,-3.6374076,bus,stop,149
240                                               ,Vital Aza-Albasanz                                                                                                                                                                                      ,40.4367455,-3.6348151,bus,stop,150
242                                               ,Ascao-Julián Camarillo                                                                                                                                                                                  ,40.4344031,-3.6331896,bus,stop,151
244                                               ,Metro García Noblejas                                                                                                                                                                                   ,40.4312717,-3.6308495,bus,stop,152
246                                               ,Castillo de Arévalo                                                                                                                                                                                     ,40.4295578,-3.6296074,bus,stop,153
4708                                              ,Hermanos García Noblejas-Gandhi                                                                                                                                                                         ,40.4277454,-3.6282374,bus,stop,154
250                                               ,Hermanos García Noblejas-Centro de Salud                                                                                                                                                                ,40.4255552,-3.6267644,bus,stop,155
1200                                              ,Pobladura del Valle-Arcos de Jalón                                                                                                                                                                      ,40.4239297,-3.6241442,bus,stop,156
1202                                              ,Arcos de Jalón-San Román del Valle                                                                                                                                                                      ,40.4224171,-3.6206291,bus,stop,157
