|ID|name
481|08283|Tona
482|08284_AM|Tordera agregacion de municipios
483|08285|Torelló
484|08286_AM|Torre de Claramunt, La agregacion de municipios
485|08288_AM|Torrelles de Foix agregacion de municipios
486|08289|Torrelles de Llobregat
487|08291|Vacarisses
488|08294_AM|Vallgorguina agregacion de municipios
489|08295|Vallirana
490|08296_AM|Vallromanes agregacion de municipios
491|08298|Vic
492|08300_AM|Viladecavalls agregacion de municipios
493|08301|Viladecans
494|08302|Vilanova del Camí
495|08305|Vilafranca del Penedès
496|08307|Vilanova i la Geltrú
497|08902|Vilanova del Vallès
498|08904|Badia del Vallès
499|08905|Palma de Cervelló, La
500|09018|Aranda de Duero
501|09048_AM|Belorado agregacion de municipios
502|09056|Briviesca
503|09059|Burgos
504|09073_AM|Cardeñadijo agregacion de municipios
505|09109_AM|Condado de Treviño agregacion de municipios
506|09124_AM|Espinosa de los Monteros agregacion de municipios
507|09141_AM|Fuentespina agregacion de municipios
508|09174_AM|Huerta de Rey agregacion de municipios
509|09177_AM|Ibeas de Juarros agregacion de municipios
510|09194|Lerma
511|09209_AM|Medina de Pomar agregacion de municipios
512|09211_AM|Melgar de Fernamental agregacion de municipios
513|09219|Miranda de Ebro
514|09238_AM|Oña agregacion de municipios
515|09289_AM|Quintanar de la Sierra agregacion de municipios
516|09321_AM|Roa agregacion de municipios
517|09330_AM|Salas de los Infantes agregacion de municipios
518|09350_AM|Santa María del Campo agregacion de municipios
519|09363_AM|Sasamón agregacion de municipios
520|09390_AM|Torresandino agregacion de municipios
521|09410|Valle de Mena
522|09413_AM|Valle de Valdebezana agregacion de municipios
523|09434_AM|Villagonzalo Pedernales agregacion de municipios
524|09439_AM|Villalbilla de Burgos agregacion de municipios
525|09903|Villarcayo de Merindad de Castilla la Vieja
526|09907_AM|Alfoz de Quintanadueñas agregacion de municipios
527|10004_AM|Acehúche agregacion de municipios
528|10006_AM|Ahigal agregacion de municipios
529|10010_AM|Alcuéscar agregacion de municipios
530|10014_AM|Aldeanueva de la Vera agregacion de municipios
531|10019_AM|Almaraz agregacion de municipios
