ID|name
0801501|Badalona distrito 01
0801502|Badalona distrito 02
0801503|Badalona distrito 03
0801504|Badalona distrito 04
0801505|Badalona distrito 05
0801506|Badalona distrito 06
0801507|Badalona distrito 07
0801508|Badalona distrito 08
0801509|Badalona distrito 09
08016_AM|Bagàagregacion de municipios
08017|BalenyÍ
08018_AM|Balsareny agregacion de municipios
0801901|Barcelona distrito 01
0801902|Barcelona distrito 02
0801903|Barcelona distrito 03
0801904|Barcelona distrito 04
0801905|Barcelona distrito 05
0801906|Barcelona distrito 06
0801907|Barcelona distrito 07
0801908|Barcelona distrito 08
0801909|Barcelona distrito 09
0801910|Barcelona distrito 10
08020|Begues
08022|Berga
08023|Bigues i Riells
08029|Cabrera de Mar
08030|Cabrils
08031|Calaf
08032|Caldes d'Estrac
08033|Caldes de Montbui
08034_AM|Calders agregacion de municipios
0803501|Calella distrito 01
0803502|Calella distrito 02
0803503|Calella distrito 03
08037_AM|Calldetenes agregacion de municipios
08038_AM|Callús agregacion de municipios
08040|Canet de Mar
08041|Canovelles
08042|Cànoves i Samalús
08043|Canyelles
08044_AM|Capellades agregacion de municipios
0804601|Cardedeu distrito 01
0804602|Cardedeu distrito 02
0804603|Cardedeu distrito 03
08047_AM|Cardona agregacion de municipios
08051|Castellar del Vallès
08053|Castellbell i el Vilar
08054|Castellbisbal
0805601|Castelldefels distrito 01
0805602|Castelldefels distrito 02
0805603|Castelldefels distrito 03
0805604|Castelldefels distrito 04
0805605|Castelldefels distrito 05
08064|Castellterçol
08067|Centelles
08068|Cervelló
08069|Collbató
08072|Corbera de Llobregat
0807301|Cornellà de Llobregat distrito 01
0807302|Cornellà de Llobregat distrito 02
0807303|Cornellà de Llobregat distrito 03
0807304|Cornellà de Llobregat distrito 04
0807305|Cornellà de Llobregat distrito 05
0807306|Cornellà de Llobregat distrito 06
08074|Cubelles
08075|Dosrius
0807601|Esparreguera distrito 01
0807602|Esparreguera distrito 02
08077|Esplugues de Llobregat
08085_AM|Font-rubí agregacion de municipios
08086|Franqueses del Vallès, Les
0808801|Garriga, La distrito 01
0808802|Garriga, La distrito 02
0808901|Gavàdistrito 01
0808902|Gavàdistrito 02
0808903|Gavàdistrito 03
0808904|Gavàdistrito 04
08091_AM|Gelida agregacion de municipios
08092|Gironella
08094_AM|Granada, La agregacion de municipios
0809601|Granollers distrito 01
0809602|Granollers distrito 02
0809603|Granollers distrito 03
0809604|Granollers distrito 04
08097_AM|Gualba agregacion de municipios
08098_AM|Sant Salvador de Guardiola agregacion de municipios
08100|Gurb
0810101|Hospitalet de Llobregat, L' distrito 01
0810102|Hospitalet de Llobregat, L' distrito 02
0810103|Hospitalet de Llobregat, L' distrito 03
0810104|Hospitalet de Llobregat, L' distrito 04
0810105|Hospitalet de Llobregat, L' distrito 05
0810106|Hospitalet de Llobregat, L' distrito 06
08102|Igualada
08105|Llagosta, La
0810601|Llinars del Vallès distrito 01
0810602|Llinars del Vallès distrito 02
08107|Lliçà d'Amunt
08108|Lliçà de Vall
0811001|Malgrat de Mar distrito 01
0811002|Malgrat de Mar distrito 02
0811201|Manlleu distrito 01
0811202|Manlleu distrito 02
0811203|Manlleu distrito 03
0811204|Manlleu distrito 04
0811302|Manresa distrito 02
0811303_AD|Manresa distrito 03 agregacion de distritos
0811304|Manresa distrito 04
0811305|Manresa distrito 05
0811401|Martorell distrito 01
0811402|Martorell distrito 02
0811403|Martorell distrito 03
0811404|Martorell distrito 04
08115_AM|Martorelles agregacion de municipios
08117|Masies de Voltregà, Les
0811801|Masnou, El distrito 01
0811802|Masnou, El distrito 02
08119|Masquefa
08120|Matadepera
0812101|Mataró distrito 01
0812102|Mataró distrito 02
0812103|Mataró distrito 03
0812104|Mataró distrito 04
0812105|Mataró distrito 05
0812106|Mataró distrito 06
08122_AM|Mediona agregacion de municipios
08123|Molins de Rei
0812401|Mollet del Vallès distrito 01
0812402|Mollet del Vallès distrito 02
0812403|Mollet del Vallès distrito 03
0812501|Montcada i Reixac distrito 01
0812502|Montcada i Reixac distrito 02
0812503|Montcada i Reixac distrito 03
0812504|Montcada i Reixac distrito 04
0812505|Montcada i Reixac distrito 05
0812506|Montcada i Reixac distrito 06
08126|Montgat
08127_AM|Monistrol de Montserrat agregacion de municipios
08135|Montmeló
0813601|Montornès del Vallès distrito 01
0813602|Montornès del Vallès distrito 02
08138|MoiÍ
08140|Navarcles
08141|Navàs
08143|Òdena
08145_AM|Olèrdola agregacion de municipios
08147|Olesa de Montserrat
08148|Olivella
08149_AM|Olost agregacion de municipios
08155|Palafolls
08156|Palau-solità i Plegamans
08157|PallejÍ
08158|Papiol, El
0815901|Parets del Vallès distrito 01
0815902|Parets del Vallès distrito 02
08161|Piera
08162_AM|Hostalets de Pierola, Els agregacion de municipios
08163|Pineda de Mar
08167|PolinyÍ
0816901|Prat de Llobregat, El distrito 01
0816902|Prat de Llobregat, El distrito 02
0816903|Prat de Llobregat, El distrito 03
0816904|Prat de Llobregat, El distrito 04
0816905|Prat de Llobregat, El distrito 05
08170_AM|Prats de Rei, Els agregacion de municipios
08171|Prats de Lluçanès
0817201|Premià de Mar distrito 01
0817202|Premià de Mar distrito 02
0817203|Premià de Mar distrito 03
08175_AM|Puig-reig agregacion de municipios
0818001|Ripollet distrito 01
0818002|Ripollet distrito 02
08181|Roca del Vallès, La
08182|Pont de Vilomara i Rocafort, El
08183|Roda de Ter
0818401|Rubí distrito 01
0818402|Rubí distrito 02
0818403|Rubí distrito 03
0818404|Rubí distrito 04
0818701|Sabadell distrito 01
0818702|Sabadell distrito 02
0818703|Sabadell distrito 03
0818704|Sabadell distrito 04
0818705|Sabadell distrito 05
0818706|Sabadell distrito 06
0818707|Sabadell distrito 07
08191|Sallent
08192|Santpedor
08194|Sant Adrià de Besòs
08196|Sant Andreu de la Barca
0819701|Sant Andreu de Llavaneres distrito 01
0819702|Sant Andreu de Llavaneres distrito 02
08198|Sant Antoni de Vilamajor
0820001|Sant Boi de Llobregat distrito 01
0820002|Sant Boi de Llobregat distrito 02
0820003|Sant Boi de Llobregat distrito 03
0820004|Sant Boi de Llobregat distrito 04
0820005|Sant Boi de Llobregat distrito 05
0820006|Sant Boi de Llobregat distrito 06
08202|Sant Celoni
08203|Sant Cebrià de Vallalta
08204|Sant Climent de Llobregat
0820501|Sant Cugat del Vallès distrito 01
0820502|Sant Cugat del Vallès distrito 02
0820503|Sant Cugat del Vallès distrito 03
0820504_AD|Sant Cugat del Vallès distrito 04 agregacion de distritos
0820505|Sant Cugat del Vallès distrito 05
08207|Sant Esteve de Palautordera
08208_AM|Sant Esteve Sesrovires agregacion de municipios
08209|Sant Fost de Campsentelles
0821001|Sant Feliu de Codines distrito 01
0821002|Sant Feliu de Codines distrito 02
08211|Sant Feliu de Llobregat
08213|Sant Fruitós de Bages
0821401|Vilassar de Dalt distrito 01
0821402|Vilassar de Dalt distrito 02
08215|Sant Hipòlit de VoltregÍ
0821701|Sant Joan Despí distrito 01
0821702|Sant Joan Despí distrito 02
0821703|Sant Joan Despí distrito 03
0821704|Sant Joan Despí distrito 04
0821705|Sant Joan Despí distrito 05
08218|Sant Joan de Vilatorrada
0821901|Vilassar de Mar distrito 01
0821902|Vilassar de Mar distrito 02
0821903|Vilassar de Mar distrito 03
08220_AM|Sant Julià de Vilatorta agregacion de municipios
08221|Sant Just Desvern
08223|Sant Llorenç Savall
08224_AM|Sant Martí de Centelles agregacion de municipios
08226_AM|Sant Martí de Tous agregacion de municipios
08227_AM|Sant Martí Sarroca agregacion de municipios
08230|Premià de Dalt
08231|Sant Pere de Ribes
08232_AM|Sant Pere de Riudebitlles agregacion de municipios
08233_AM|Sant Pere de Torelló agregacion de municipios
08234|Sant Pere de Vilamajor
08235|Sant Pol de Mar
08237_AM|Sant Quirze de Besora agregacion de municipios
08238|Sant Quirze del Vallès
0824001|Sant Sadurní d'Anoia distrito 01
0824002|Sant Sadurní d'Anoia distrito 02
08244|Santa Coloma de Cervelló
0824501|Santa Coloma de Gramenet distrito 01
0824502|Santa Coloma de Gramenet distrito 02
0824503|Santa Coloma de Gramenet distrito 03
