Codigo;Provincia;distrito;name;poblacion;fecha;edad;sexo;numero_viajes;personas
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;0-25;mujer;2;85827.634
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;0-25;mujer;2+;225652.162
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;25-45;hombre;0;140105.523
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;25-45;hombre;1;23030.226
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;25-45;hombre;2;114198.06
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;25-45;hombre;2+;317970.925
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;25-45;mujer;0;139803.2
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;25-45;mujer;1;25901.851
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;25-45;mujer;2;136296.427
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;25-45;mujer;2+;382298.5720000001
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;45-65;hombre;0;117221.086
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;45-65;hombre;1;20046.028
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;45-65;hombre;2;103801.486
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;45-65;hombre;2+;290114.3050000001
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;45-65;mujer;0;134047.378
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;45-65;mujer;1;24307.055
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;45-65;mujer;2;131639.055
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;45-65;mujer;2+;358636.293
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;65-100;hombre;0;140566.096
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;65-100;hombre;1;15879.384
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;65-100;hombre;2;76887.537
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;65-100;hombre;2+;161724.743
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;65-100;mujer;0;209040.543
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;65-100;mujer;1;26710.492
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;65-100;mujer;2;136445.551
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;65-100;mujer;2+;286904.3
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;0-25;hombre;0;146927.464
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;0-25;hombre;1;22706.956
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;0-25;hombre;2;89001.34
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;0-25;hombre;2+;210297.081
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;0-25;mujer;0;125941.337
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;0-25;mujer;1;21698.291
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;0-25;mujer;2;92490.536
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;0-25;mujer;2+;231713.716
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;25-45;hombre;0;136912.714
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;25-45;hombre;1;22945.377
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;25-45;hombre;2;113082.824
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;25-45;hombre;2+;297123.602
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;25-45;mujer;0;128006.574
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;25-45;mujer;1;25642.955
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;25-45;mujer;2;128957.363
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;25-45;mujer;2+;340805.872
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;45-65;hombre;0;121086.587
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;45-65;hombre;1;21548.805
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;45-65;hombre;2;105758.38
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;45-65;hombre;2+;288360.047
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;45-65;mujer;0;128651.586
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;45-65;mujer;1;25266.561
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;45-65;mujer;2;132202.719
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;45-65;mujer;2+;357048.6729999999
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;65-100;hombre;0;138650.305
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;65-100;hombre;1;17581.992
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;65-100;hombre;2;77874.798
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;65-100;hombre;2+;159780.35
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;65-100;mujer;0;213580.16
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;65-100;mujer;1;29026.661
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;65-100;mujer;2;130849.535
28;Madrid                ;2807905 ;Chamartin                                     ;145444;202401;65-100;mujer;2+;264578.4020000001
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;0-25;hombre;0;137570.956
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;0-25;hombre;1;19825.784
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;0-25;hombre;2;95046.598
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;0-25;hombre;2+;212121.271
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;0-25;mujer;0;114005.902
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;0-25;mujer;1;19842.107
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;0-25;mujer;2;99066.023
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;0-25;mujer;2+;222245.183
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;25-45;hombre;0;165796.832
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;25-45;hombre;1;28086.811
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;25-45;hombre;2;156768.098
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;25-45;hombre;2+;394945.0979999999
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;25-45;mujer;0;166585.831
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;25-45;mujer;1;30091.833
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;25-45;mujer;2;177808.5
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;25-45;mujer;2+;452455.2259999999
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;45-65;hombre;0;127888.568
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;45-65;hombre;1;21116.853
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;45-65;hombre;2;125923.209
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;45-65;hombre;2+;308697.346
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;45-65;mujer;0;142208.22
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;45-65;mujer;1;25311.389
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;45-65;mujer;2;155065.0989999999
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;45-65;mujer;2+;380947.1090000001
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;65-100;hombre;0;118159.428
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;65-100;hombre;1;14179.123
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;65-100;hombre;2;70088.017
