station_id;station_name;stop_lon;stop_lat;state;capacity;transport_mode
118;OFICINA DEL SER, APR Y BICIREGISTRO;-3.6882407;40.400781;IN_SERVICE    ;23;bicimad             
119;Méndez Álvaro;-3.6862653;40.4012905;IN_SERVICE    ;23;bicimad             
120;Metro Palos de la Frontera;-3.694825102;40.40309045;IN_SERVICE    ;27;bicimad             
121;Glorieta de Santa María de la Cabeza;-3.6986027;40.4017487;IN_SERVICE    ;27;bicimad             
122;Santa Engracia;-3.6963659;40.4295362;IN_SERVICE    ;23;bicimad             
123;Metro Argüelles;-3.7133412;40.4306458;IN_SERVICE    ;27;bicimad             
124;Metro Bilbao;-3.6993695;40.430969;IN_SERVICE    ;27;bicimad             
125;Fdez. de la Hoz;-3.6948;40.4353;IN_SERVICE    ;27;bicimad             
126;General Álvarez de Castro;-3.7018044;40.4345976;IN_SERVICE    ;27;bicimad             
127;Mercado Municipal de Vallehermoso;-3.708439;40.4338516;IN_SERVICE    ;27;bicimad             
128;Metro Islas Filipinas;-3.715550146;40.43898707;IN_SERVICE    ;27;bicimad             
129;Metro Alonso Cano;-3.6982353;40.4383865;IN_SERVICE    ;27;bicimad             
130;Metro Ríos Rosas;-3.70164;40.44156;IN_SERVICE    ;23;bicimad             
131;Plaza de Juan Zorrilla;-3.70403123;40.4417884;IN_SERVICE    ;23;bicimad             
132;Glorieta de Cuatro Caminos;-3.70360525;40.4463775;IN_SERVICE    ;27;bicimad             
133;Raimundo Fdez. Villaverde;-3.7001669;40.447125;IN_SERVICE    ;24;bicimad             
134;María de Guzmán;-3.6955687;40.4441818;IN_SERVICE    ;23;bicimad             
135;Plaza de San Juan de la Cruz;-3.692734;40.441481;IN_SERVICE    ;23;bicimad             
136;Metro Nuevos Ministerios;-3.690769;40.4451244;IN_SERVICE    ;23;bicimad             
137;Plaza de la República Argentina;-3.6853377;40.4454477;IN_SERVICE    ;24;bicimad             
138;Estación de tren Nuevos Ministerios;-3.6914063;40.4457414;IN_SERVICE    ;23;bicimad             
139;José Gutiérrez Abascal;-3.690419307;40.43939562;IN_SERVICE    ;24;bicimad             
140;Velázquez;-3.6830583;40.4387566;IN_SERVICE    ;27;bicimad             
141;Plaza de Emilio Castelar;-3.6893917;40.4354047;IN_SERVICE    ;12;bicimad             
142;Bajo elevado de Eduardo Dato;-3.6879154;40.4334087;IN_SERVICE    ;23;bicimad             
186;General Pardiñas;-3.6783016;40.4289804;IN_SERVICE    ;23;bicimad             
144;Metro Diego de León;-3.675556;40.4324081;IN_SERVICE    ;27;bicimad             
145;Ortega y Gasset 87;-3.6712823;40.429887;IN_SERVICE    ;23;bicimad             
146;María Francisca, 3;-3.6788499;40.4442541;IN_SERVICE    ;19;bicimad             
147;Doctor Arce 45;-3.6794;40.4484;IN_SERVICE    ;23;bicimad             
148;Serrano 210;-3.6813971;40.451117;IN_SERVICE    ;23;bicimad             
149;Plaza de Quito;-3.6879303;40.4498515;IN_SERVICE    ;22;bicimad             
151;Orense 12;-3.695359265;40.44881225;IN_SERVICE    ;27;bicimad             
152;General Perón, 4;-3.6989;40.4525;IN_SERVICE    ;23;bicimad             
153;General Perón;-3.6936;40.4523;IN_SERVICE    ;23;bicimad             
154;Orense 36;-3.6946218;40.4548456;IN_SERVICE    ;24;bicimad             
155;San Germán 57;-3.70093019;40.45733423;IN_SERVICE    ;23;bicimad             
156;Sor Ángela de la Cruz-Paseo Castellana;-3.691533;40.4592351;IN_SERVICE    ;24;bicimad             
158;Alberto Alcocer;-3.684715;40.4585318;IN_SERVICE    ;23;bicimad             
159;Paseo de la Habana 63;-3.6835926;40.4543852;IN_SERVICE    ;23;bicimad             
160;Metro Colombia;-3.6763439;40.4572466;IN_SERVICE    ;24;bicimad             
161;Intercambiador de Príncipe Pío A;-3.722099321;40.42219247;IN_SERVICE    ;27;bicimad             
162;Metro Pirámides;-3.7105765;40.4034968;IN_SERVICE    ;23;bicimad             
163;Metro Acacias;-3.706445;40.4037586;IN_SERVICE    ;19;bicimad             
164;Paseo de las Delicias;-3.69461;40.39723;IN_SERVICE    ;27;bicimad             
165;Entrada Matadero;-3.697596;40.392888;IN_SERVICE    ;43;bicimad             
