stop_id;stop_name;bus_line;stop_lon;stop_lat;transport_mode
745                                               ;Auditorio Nacional                                                                                                                                                                                      ;1                                                 ;-3.6750855;40.4467697;bus                 
273                                               ;Prosperidad                                                                                                                                                                                             ;1                                                 ;-3.6736203;40.4455845;bus                 
273                                               ;Prosperidad                                                                                                                                                                                             ;1                                                 ;-3.6736203;40.4455845;bus                 
716                                               ;Cartagena-López de Hoyos                                                                                                                                                                                ;1                                                 ;-3.6745426;40.4443584;bus                 
718                                               ;Cartagena                                                                                                                                                                                               ;1                                                 ;-3.6725023;40.4414469;bus                 
722                                               ;Cartagena-Béjar                                                                                                                                                                                         ;1                                                 ;-3.6698318;40.4390164;bus                 
2307                                              ;Plaza San Cayetano                                                                                                                                                                                      ;1                                                 ;-3.6692691;40.4357854;bus                 
725                                               ;Centro Cultural Buenavista                                                                                                                                                                              ;1                                                 ;-3.6697099;40.433864;bus                 
728                                               ;Parque Eva Duarte                                                                                                                                                                                       ;1                                                 ;-3.669885;40.4316467;bus                 
730                                               ;Lista                                                                                                                                                                                                   ;1                                                 ;-3.6746661;40.4319433;bus                 
732                                               ;Marqués de Salamanca                                                                                                                                                                                    ;1                                                 ;-3.6793794;40.4321679;bus                 
733                                               ;Ortega y Gasset-Claudio Coello                                                                                                                                                                          ;1                                                 ;-3.6848101;40.4324332;bus                 
449                                               ;Serrano-Ortega y Gasset                                                                                                                                                                                 ;1                                                 ;-3.6859791;40.4314533;bus                 
451                                               ;Metro Serrano                                                                                                                                                                                           ;1                                                 ;-3.6866389;40.4279358;bus                 
452                                               ;Museo Arqueológico                                                                                                                                                                                      ;1                                                 ;-3.6871619;40.4248787;bus                 
161                                               ;Puerta de Alcalá                                                                                                                                                                                        ;1                                                 ;-3.6879154;40.4224688;bus                 
69                                                ;Cibeles                                                                                                                                                                                                 ;1                                                 ;-3.692256;40.421578;bus                 
5135                                              ;Círculo de Bellas Artes                                                                                                                                                                                 ;1                                                 ;-3.694989;40.4209039;bus                 
5137                                              ;Gran Vía-Pedro Zerolo                                                                                                                                                                                   ;1                                                 ;-3.6981595;40.4216551;bus                 
4094                                              ;Gran Vía-Montera                                                                                                                                                                                        ;1                                                 ;-3.7006957;40.4220407;bus                 
9                                                 ;Gran Vía-Callao                                                                                                                                                                                         ;1                                                 ;-3.7031208;40.4222286;bus                 
168                                               ;Santo Domingo                                                                                                                                                                                           ;1                                                 ;-3.7063343;40.4233712;bus                 
283                                               ;Gran Vía-Plaza de España                                                                                                                                                                                ;1                                                 ;-3.7092138;40.4251869;bus                 
1750                                              ;Plaza de España                                                                                                                                                                                         ;1                                                 ;-3.7105325;40.4265752;bus                 
172                                               ;Ventura Rodríguez                                                                                                                                                                                       ;1                                                 ;-3.7113822;40.4277772;bus                 
734                                               ;Princesa-Rey Francisco                                                                                                                                                                                  ;1                                                 ;-3.713144;40.4301267;bus                 
736                                               ;Argüelles                                                                                                                                                                                               ;1                                                 ;-3.7144981;40.4320553;bus                 
738                                               ;Altamirano                                                                                                                                                                                              ;1                                                 ;-3.7159049;40.4340466;bus                 
4816                                              ;Moncloa                                                                                                                                                                                                 ;1                                                 ;-3.7170654;40.435643;bus                 
4021                                              ;Junta Municipal Moncloa                                                                                                                                                                                 ;1                                                 ;-3.7168149;40.4375905;bus                 
743                                               ;Cristo Rey                                                                                                                                                                                              ;1                                                 ;-3.7163518;40.4404672;bus                 
4514                                              ;Cristo Rey                                                                                                                                                                                              ;1                                                 ;-3.7166546;40.4402582;bus                 
3811                                              ;Manuel Becerra                                                                                                                                                                                          ;2                                                 ;-3.6672048;40.429383;bus                 
148                                               ;Doctor Esquerdo-Goya                                                                                                                                                                                    ;2                                                 ;-3.6676381;40.4270381;bus                 
150                                               ;O'Donnell                                                                                                                                                                                               ;2                                                 ;-3.6679127;40.4238113;bus                 
1256                                              ;Hospital Gregorio Marañón                                                                                                                                                                               ;2                                                 ;-3.6682072;40.420215;bus                 
199                                               ;Ibiza-Maiquez                                                                                                                                                                                           ;2                                                 ;-3.6714833;40.4201329;bus                 
2157                                              ;Narváez-Ibiza                                                                                                                                                                                           ;2                                                 ;-3.6748056;40.4204694;bus                 
156                                               ;O Donnell-Narváez                                                                                                                                                                                       ;2                                                 ;-3.6751127;40.4235532;bus                 
158                                               ;O Donnell-Retiro                                                                                                                                                                                        ;2                                                 ;-3.6791324;40.4235477;bus                 
161                                               ;Puerta de Alcalá                                                                                                                                                                                        ;2                                                 ;-3.6879154;40.4224688;bus                 
69                                                ;Cibeles                                                                                                                                                                                                 ;2                                                 ;-3.692256;40.421578;bus                 
5135                                              ;Círculo de Bellas Artes                                                                                                                                                                                 ;2                                                 ;-3.694989;40.4209039;bus                 
5137                                              ;Gran Vía-Pedro Zerolo                                                                                                                                                                                   ;2                                                 ;-3.6981595;40.4216551;bus                 
4094                                              ;Gran Vía-Montera                                                                                                                                                                                        ;2                                                 ;-3.7006957;40.4220407;bus                 
9                                                 ;Gran Vía-Callao                                                                                                                                                                                         ;2                                                 ;-3.7031208;40.4222286;bus                 
168                                               ;Santo Domingo                                                                                                                                                                                           ;2                                                 ;-3.7063343;40.4233712;bus                 
283                                               ;Gran Vía-Plaza de España                                                                                                                                                                                ;2                                                 ;-3.7092138;40.4251869;bus                 
1750                                              ;Plaza de España                                                                                                                                                                                         ;2                                                 ;-3.7105325;40.4265752;bus                 
172                                               ;Ventura Rodríguez                                                                                                                                                                                       ;2                                                 ;-3.7113822;40.4277772;bus                 
175                                               ;Mártires de Alcalá                                                                                                                                                                                      ;2                                                 ;-3.7123091;40.4295913;bus                 
176                                               ;Argüelles                                                                                                                                                                                               ;2                                                 ;-3.7104515;40.4323235;bus                 
177                                               ;Blasco de Garay-Centro Mayores                                                                                                                                                                          ;2                                                 ;-3.7101933;40.4357935;bus                 
4477                                              ;Galileo                                                                                                                                                                                                 ;2                                                 ;-3.7091566;40.4369981;bus                 
4478                                              ;Vallehermoso-Donoso Cortés                                                                                                                                                                              ;2                                                 ;-3.7071261;40.4378754;bus                 
4479                                              ;Vallehermoso-Cea Bermúdez                                                                                                                                                                               ;2                                                 ;-3.7069819;40.4398673;bus                 
180                                               ;Vallehermoso-Islas Filipinas                                                                                                                                                                            ;2                                                 ;-3.706759;40.4422966;bus                 
181                                               ;Estadio Vallehermoso                                                                                                                                                                                    ;2                                                 ;-3.7087013;40.4443703;bus                 
182                                               ;Melquíades Álvarez                                                                                                                                                                                      ;2                                                 ;-3.7111087;40.4432203;bus                 
183                                               ;General Ampudia                                                                                                                                                                                         ;2                                                 ;-3.7137561;40.444213;bus                 
184                                               ;Avenida del Valle                                                                                                                                                                                       ;2                                                 ;-3.7138054;40.4454289;bus                 
185                                               ;Metro Guzmán el Bueno                                                                                                                                                                                   ;2                                                 ;-3.7129337;40.447637;bus                 
186                                               ;Reina Victoria                                                                                                                                                                                          ;2                                                 ;-3.7111363;40.4476976;bus                 
186                                               ;Reina Victoria                                                                                                                                                                                          ;2                                                 ;-3.7111363;40.4476976;bus                 
187                                               ;Guzmán el Bueno-San Francisco de Sales                                                                                                                                                                  ;2                                                 ;-3.7113768;40.4447502;bus                 
188                                               ;Melquíades Álvarez                                                                                                                                                                                      ;2                                                 ;-3.7115471;40.4434248;bus                 
189                                               ;Metro Islas Filipinas                                                                                                                                                                                   ;2                                                 ;-3.7117413;40.4405948;bus                 
190                                               ;Guzmán El Bueno-Fernández de los Ríos                                                                                                                                                                   ;2                                                 ;-3.7119546;40.4376926;bus                 
191                                               ;Guzmán El Bueno-Meléndez Valdés                                                                                                                                                                         ;2                                                 ;-3.7121448;40.4353896;bus                 
192                                               ;Argüelles                                                                                                                                                                                               ;2                                                 ;-3.7123434;40.4328434;bus                 
193                                               ;Princesa-Rey Francisco                                                                                                                                                                                  ;2                                                 ;-3.7132541;40.4297747;bus                 
173                                               ;Ventura Rodríguez                                                                                                                                                                                       ;2                                                 ;-3.7118545;40.4278464;bus                 
741                                               ;Plaza de España                                                                                                                                                                                         ;2                                                 ;-3.7108528;40.4264877;bus                 
171                                               ;Gran Vía-Plaza de España                                                                                                                                                                                ;2                                                 ;-3.7092411;40.4248354;bus                 
169                                               ;Santo Domingo                                                                                                                                                                                           ;2                                                 ;-3.7061797;40.4229262;bus                 
723                                               ;Gran Vía-Callao                                                                                                                                                                                         ;2                                                 ;-3.7030167;40.4219545;bus                 
724                                               ;Gran Vía-Montera                                                                                                                                                                                        ;2                                                 ;-3.6998056;40.4217848;bus                 
5138                                              ;Gran Vía-Pedro Zerolo                                                                                                                                                                                   ;2                                                 ;-3.6980773;40.4213988;bus                 
164                                               ;Gran Vía-Alcalá                                                                                                                                                                                         ;2                                                 ;-3.6958711;40.4207455;bus                 
70                                                ;Cibeles                                                                                                                                                                                                 ;2                                                 ;-3.6920981;40.4209393;bus                 
162                                               ;Puerta de Alcalá-Retiro                                                                                                                                                                                 ;2                                                 ;-3.6869844;40.4214833;bus                 
174                                               ;Alcalá-Retiro                                                                                                                                                                                           ;2                                                 ;-3.6845173;40.4223087;bus                 
3686                                              ;O Donnell-Retiro                                                                                                                                                                                        ;2                                                 ;-3.6782119;40.423445;bus                 
157                                               ;O Donnell-Narváez                                                                                                                                                                                       ;2                                                 ;-3.6751809;40.4233006;bus                 
2156                                              ;Narváez-Ibiza                                                                                                                                                                                           ;2                                                 ;-3.6751638;40.4204088;bus                 
2158                                              ;Sainz de Baranda-Narváez                                                                                                                                                                                ;2                                                 ;-3.6743768;40.4186611;bus                 
2160                                              ;Sainz de Baranda-Maiquez                                                                                                                                                                                ;2                                                 ;-3.6716933;40.4185056;bus                 
2162                                              ;Metro Sainz de Baranda                                                                                                                                                                                  ;2                                                 ;-3.6685771;40.4182849;bus                 
1257                                              ;Hospital Gregorio Marañón                                                                                                                                                                               ;2                                                 ;-3.6677819;40.4201183;bus                 
5822                                              ;Doctor Esquerdo-O Donnell                                                                                                                                                                               ;2                                                 ;-3.6675921;40.4222726;bus                 
151                                               ;O'Donnell                                                                                                                                                                                               ;2                                                 ;-3.6674367;40.4245528;bus                 
149                                               ;Doctor Esquerdo-Goya                                                                                                                                                                                    ;2                                                 ;-3.6672293;40.4266756;bus                 
3811                                              ;Manuel Becerra                                                                                                                                                                                          ;2                                                 ;-3.6672048;40.429383;bus                 
5070                                              ;Puerta de Toledo                                                                                                                                                                                        ;3                                                 ;-3.7111001;40.409351;bus                 
1884                                              ;Puerta de Toledo                                                                                                                                                                                        ;3                                                 ;-3.7108484;40.4095462;bus                 
1882                                              ;La Paloma                                                                                                                                                                                               ;3                                                 ;-3.7119073;40.4108775;bus                 
1880                                              ;San Francisco El Grande                                                                                                                                                                                 ;3                                                 ;-3.7124381;40.4127707;bus                 
1878                                              ;Las Vistillas                                                                                                                                                                                           ;3                                                 ;-3.7124621;40.4139327;bus                 
1876                                              ;Palacio Real                                                                                                                                                                                            ;3                                                 ;-3.7121365;40.4165833;bus                 
855                                               ;Plaza de España                                                                                                                                                                                         ;3                                                 ;-3.7105477;40.4245841;bus                 
171                                               ;Gran Vía-Plaza de España                                                                                                                                                                                ;3                                                 ;-3.7092411;40.4248354;bus                 
169                                               ;Santo Domingo                                                                                                                                                                                           ;3                                                 ;-3.7061797;40.4229262;bus                 
